name,Date,State,WindinStudy,BR,SH,LoadinStudy,912L,174L
Alt1285,Feb-31,9L20,1476.032389,0,0,1789.31,-1.025061131,4.679583549
Alt1286,Feb-31,9L20,1170.161927,0,0,1778.39,28.73165703,34.23474884
Alt1287,Feb-31,9L20,984.3546972,281.6195984,0,1781.61,28.53194427,21.20864868
Alt1288,Feb-31,9L20,838.3091216,356.1741028,0,1777.19,37.9971199,21.65228653
Alt1289,Feb-31,9L20,734.7341599,380.7692261,0,1791.66,50.46995926,32.18460464
Alt1290,Feb-31,9L20,711.891077,380.7692261,120.6679382,1806.21,44.72605133,28.45596313
Alt1291,Feb-31,9L20,654.2194438,380.7692261,356.1741028,1820.13,35.09878159,18.7639122
Alt1292,Feb-31,9L20,634.2127473,380.7692261,380.7692261,1835.88,39.14594269,19.7652626
Alt1293,Feb-31,9L20,804.1990333,380.7692261,380.7692261,1863.7,24.55299187,5.669716835
Alt1294,Feb-31,9L20,935.9710243,380.7692261,192.9678802,1873.28,24.28643799,7.901128292
Alt1295,Feb-31,9L20,1057.346352,380.7692261,283.8894043,1872.19,9.890263557,-1.023945093
Alt1296,Feb-31,9L20,1066.146754,380.7692261,323.3805542,1856.63,4.16812706,-8.093373299
Alt1297,Feb-31,9L20,1046.525714,380.7692261,356.1741028,1839.68,2.880777597,-13.82588768
Alt1298,Feb-31,9L20,944.5945797,380.7692261,356.1741028,1828.47,9.226633072,-9.219910622
Alt1299,Feb-31,9L20,910.6450202,356.1741028,205.1759644,1818.18,21.92965317,1.257858038
Alt1300,Feb-31,9L20,836.4993629,330.8853455,323.3805542,1810.85,21.10432053,0.917464077
Alt1301,Feb-31,9L20,834.2209705,356.1741028,323.3805542,1805.12,17.34286308,-1.788306236
Alt1302,Feb-31,9L20,848.0310293,380.7692261,380.7692261,1801.63,10.78350925,-9.641903877
Alt1303,Feb-31,9L20,912.4388905,380.7692261,380.7692261,1806.96,4.648073673,-16.00537109
Alt1304,Feb-31,9L20,1033.337084,380.7692261,380.7692261,1808.63,-7.187759399,-29.40487099
Alt1305,Feb-31,9L20,1132.386165,380.7692261,380.7692261,1803.05,-14.40239429,-40.56324387
Alt1306,Feb-31,9L20,1268.513049,380.7692261,380.7692261,1830.14,-26.47405243,-50.93349075
Alt1307,Feb-31,9L20,1414.429272,380.7692261,380.7692261,1843.66,-37.30389023,-61.39809418
Alt1308,Feb-31,9L20,1517.637334,380.7692261,380.7692261,1855.87,-46.0181694,-69.87638092
Alt1309,Feb-31,9L20,1591.662008,356.1741028,380.7692261,1871.46,-52.55483246,-75.94851685
Alt1310,Feb-31,9L20,1690.408854,323.3805542,0,1865.84,-36.73574829,-58.56494904
Alt1311,Feb-31,9L20,1807.253128,0,0,1858.13,-22.50806236,-17.50522804
Alt1312,Feb-31,9L20,1873.722282,0,0,1850.16,-32.61164093,-35.93715668
Alt1313,Feb-31,9L20,1912.633859,0,0,1850.71,-35.90315628,-36.64782715
Alt1314,Feb-31,9L20,1906.308368,0,0,1865.53,-33.48256683,-30.71068382
Alt1315,Feb-31,9L20,1952.621533,0,0,1889.11,-34.17428589,-33.5008049
Alt1316,Feb-31,9L20,1911.851203,0,0,1903.29,-25.851717,-26.07406807
Alt1317,Feb-31,9L20,1813.507837,0,0,1928.01,-12.49563694,-11.79108715
Alt1318,Feb-31,9L20,1566.551294,0,0,1919.3,2.601947308,-3.353583097
Alt1319,Feb-31,9L20,1379.54855,219.3390656,0,1906.03,6.693689346,-1.510040164
Alt1320,Feb-31,9L20,1380.188429,128.3762817,0,1880.1,10.0301981,5.469134331
Alt1321,Feb-31,9L20,1260.419203,0,0,1854.37,25.53220749,24.00789642
Alt1322,Feb-31,9L20,1222.860007,0,0,1827.11,25.21317482,22.86089134
Alt1323,Feb-31,9L20,1273.702861,0,0,1804.86,14.57630825,9.893194199
Alt1324,Feb-31,9L20,1278.295953,0,0,1798.77,12.71446037,11.2892046
Alt1325,Feb-31,9L20,1365.045834,0,0,1799.99,4.423167706,-1.006503701
Alt1326,Feb-31,9L20,1462.723226,0,0,1808.04,-3.021111488,-11.96367168
Alt1327,Feb-31,9L20,1310.074729,0,0,1814.35,15.16687489,3.375339031
Alt1328,Feb-31,9L20,1208.792453,0,0,1830.71,29.31583786,21.63083839
Alt1329,Feb-31,9L20,1060.367396,351.0076294,0,1864.4,28.7305584,13.13696957
Alt1330,Feb-31,9L20,767.8515084,380.7692261,356.1741028,1895.22,30.15672684,14.1250248
Alt1331,Feb-31,9L20,462.8485816,450,443.464386,1903.18,52.3025856,31.49459648
Alt1332,Feb-31,9L20,318.4627872,450,450,1913.51,67.93624115,44.21339798
Alt1333,Feb-31,9L20,228.2524381,450,450,1901.83,75.70652771,49.19662094
Alt1334,Feb-31,9L20,175.5397044,450,450,1896.06,80.58543396,52.9827919
Alt1335,Feb-31,9L20,155.4656868,450,450,1887.46,82.33751678,53.3161087
Alt1336,Feb-31,9L20,149.7271268,450,450,1878.85,82.27949524,51.34601593
Alt1337,Feb-31,9L20,152.5504878,450,450,1879.63,82.70478821,54.46709061
Alt1338,Feb-31,9L20,161.4772694,450,450,1884.96,81.88731384,52.84177399
Alt1339,Feb-31,9L20,196.6144453,450,450,1892.5,78.24984741,45.85303497
Alt1340,Feb-31,9L20,210.1522835,450,450,1907.21,77.11697388,43.51011658
Alt1341,Feb-31,9L20,217.7902153,450,450,1938.28,78.3587265,42.80826569
Alt1342,Feb-31,9L20,214.1701568,450,450,1942,78.0561676,41.79167175
Alt1343,Feb-31,9L20,236.7920595,450,450,1923.91,73.03542328,38.53850937
Alt1344,Feb-31,9L20,253.381271,450,450,1902.64,68.57206726,35.39320755
Alt1345,Feb-31,9L20,281.4258652,450,450,1878.64,62.24976349,35.80841827
Alt1346,Feb-31,9L20,292.7488782,450,450,1849.57,57.61584091,34.27812195
Alt1347,Feb-31,9L20,325.7628479,450,450,1832.46,51.45027161,28.5556469
Alt1348,Feb-31,9L20,397.2033567,450,450,1819.28,41.58758926,19.07030678
Alt1349,Feb-31,9L20,468.5042708,450,450,1827.24,33.51586151,13.83350849
Alt1350,Feb-31,9L20,524.3342183,450,450,1836.78,27.79817772,9.106062889
Alt1351,Feb-31,9L20,617.8321671,450,450,1836.51,17.82925987,-2.328033209
Alt1352,Feb-31,9L20,679.428226,450,450,1843.72,14.26336384,-2.320225239
Alt1353,Feb-31,9L20,778.5602221,450,450,1878.16,9.462532043,-4.002674103
Alt1354,Feb-31,9L20,892.8194389,450,450,1921.86,2.078449249,-12.53524971
Alt1355,Feb-31,9L20,951.5784178,450,450,1927.21,-3.1484828,-21.41346741
Alt1356,Feb-31,9L20,943.4286957,450,450,1941.36,-0.557249188,-18.01632309
Alt1357,Feb-31,9L20,935.2816157,450,450,1923.59,-0.385503262,-18.01685333
Alt1358,Feb-31,9L20,957.5778279,450,450,1906.58,-3.450424433,-23.97554588
Alt1359,Feb-31,9L20,951.3219523,450,450,1906.53,-4.610288143,-24.9341259
Alt1360,Feb-31,9L20,1033.49857,450,450,1901.92,-14.65693474,-39.93976974
Alt1361,Feb-31,9L20,1113.906395,380.7692261,450,1894.02,-18.82145691,-44.02332687
Alt1362,Feb-31,9L20,1167.571468,380.7692261,450,1881,-22.84000969,-46.15567017
Alt1363,Feb-31,9L20,1215.391196,380.7692261,450,1893.78,-23.73755455,-43.91484833
Alt1364,Feb-31,9L20,1304.667511,380.7692261,450,1893.66,-28.4457016,-52.84278488
Alt1365,Feb-31,9L20,1395.28773,380.7692261,380.7692261,1921.63,-29.71249199,-52.61179733
Alt1366,Feb-31,9L20,1396.722868,380.7692261,380.7692261,1919.32,-28.42899704,-49.53583145
Alt1367,Feb-31,9L20,1332.51065,356.1741028,380.7692261,1905.96,-22.56907463,-44.23605728
Alt1368,Feb-31,9L20,1215.350696,0,380.7692261,1880.27,7.889755249,-0.577744484
Alt1369,Feb-31,9L20,1109.559226,0,380.7692261,1868.04,15.37176991,9.321538925
Alt1370,Feb-31,9L20,907.6810267,0,356.1741028,1838.05,37.01008606,32.69899368
Alt1371,Feb-31,9L20,732.0837834,0,336.6610718,1821.95,52.27167511,48.54603958
Alt1372,Feb-31,9L20,590.5689237,288.6796265,356.1741028,1818.93,44.44102478,32.12293243
Alt1373,Feb-31,9L20,497.1617305,380.7692261,380.7692261,1803.95,43.37847137,28.94923401
Alt1374,Feb-31,9L20,471.6940093,375.5148926,380.7692261,1793.94,44.28551865,27.29710579
